Player,Team,Position,Secondary Position,Nation,Age,90s Played,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Facundo Altamira,Godoy Cruz,MF,FW,Unknown,0.0,16.7,0.18,0.06,0.19,0.12,50.0,1.69,0.17,51.9,59.0,71.8,56.0,44.4,44.2,0.66,0.1,0.27,0.11,0.32,0.24,9.16,1.2,0.0,0.42,0.96,3.89,12.34,167.25,35.09,0.9,-0.07,0.0,0.06,4.01,35.27,4.61,20.96,56.77
Federico Rasmussen,Godoy Cruz,DF,,ARG,31.0,23.9,0.0,0.0,0.0,0.01,54.3,0.67,0.08,58.9,83.4,85.5,90.6,67.5,62.5,0.0,0.0,0.0,0.01,0.01,0.0,0.04,2.22,0.04,1.55,0.92,4.39,33.1,683.77,268.91,0.17,-0.01,0.0,0.21,0.0,48.87,0.33,22.93,47.99
Franco Petroli,Godoy Cruz,GK,,ARG,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.19,0.04,100.0,68.8,100.0,99.0,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,1.08,26.42,860.0,649.19,0.0,0.0,0.0,0.04,0.0,40.31,0.0,22.38,63.27
Gonzalo Abrego,Godoy Cruz,MF,,ARG,24.0,14.6,0.21,0.0,0.13,0.04,50.0,1.98,0.07,53.8,74.2,81.9,83.1,52.8,52.6,0.55,0.11,0.38,0.07,0.17,0.21,2.4,4.73,0.0,0.48,1.37,5.75,28.36,488.49,154.04,0.68,-0.04,0.07,0.62,1.99,49.18,1.3,25.82,50.14
Juan Bautista Cejas,Godoy Cruz,FW,MF,ARG,25.0,4.3,0.0,0.23,0.05,0.13,11.1,2.78,0.23,33.3,64.6,81.7,70.2,40.6,20.0,0.0,0.0,0.0,0.04,0.18,0.23,6.74,1.63,0.0,0.47,0.7,3.26,23.72,405.35,104.65,1.86,0.09,0.23,0.0,9.3,45.35,1.16,25.58,42.79
Juan Morán,Godoy Cruz,DF,,ARG,17.0,5.4,0.0,0.0,0.01,0.02,62.5,0.56,0.19,25.0,70.0,86.0,70.7,51.2,50.0,0.0,0.0,0.0,0.03,0.03,0.0,2.96,3.15,0.0,2.22,2.96,3.7,31.11,550.37,237.41,0.19,-0.02,0.0,0.19,2.22,58.7,1.48,19.44,54.44
Juan Pérez,Godoy Cruz,MF,,COL,19.0,5.4,0.19,0.37,0.06,0.11,33.3,2.05,0.37,0.0,72.0,74.6,76.4,65.0,52.4,0.56,0.17,0.33,0.05,0.17,0.56,3.33,2.96,0.0,0.0,0.93,4.07,20.0,351.85,96.67,1.3,0.26,0.0,0.56,2.41,36.48,3.89,19.81,65.74
Lucas Arce,Godoy Cruz,DF,,ARG,26.0,22.5,0.0,0.09,0.01,0.12,51.7,2.89,0.22,43.9,69.1,83.7,69.6,48.3,43.5,0.09,0.0,0.0,0.02,0.13,0.09,4.18,6.22,0.0,0.89,1.2,3.73,38.58,711.69,376.18,1.2,-0.03,0.0,0.22,3.47,66.53,1.02,26.09,70.76
Martín Luciano,Godoy Cruz,DF,,ARG,20.0,6.0,0.0,0.0,0.02,0.03,92.3,1.5,0.0,50.0,69.7,85.3,69.5,42.5,50.0,0.0,0.0,0.0,0.04,0.05,0.0,1.67,3.17,0.0,1.83,2.83,3.67,28.33,478.83,230.67,0.67,-0.03,0.0,0.0,3.0,53.17,1.33,19.67,42.0
Martín Pino,Godoy Cruz,FW,,ARG,25.0,5.1,0.2,0.0,0.46,0.05,25.0,2.34,0.0,44.9,65.0,76.1,70.6,100.0,40.0,0.78,0.07,0.25,0.16,0.51,0.2,3.14,0.98,0.0,0.0,0.39,1.76,10.2,124.51,24.12,0.39,-0.04,0.0,0.0,0.0,30.59,0.98,17.65,20.2
Mateo Mendoza,Godoy Cruz,DF,,ARG,19.0,9.0,0.33,0.0,0.11,0.0,68.4,0.33,0.0,50.0,79.6,92.2,83.9,58.4,0.0,0.44,0.43,0.75,0.15,0.12,0.33,0.78,1.67,0.11,1.78,2.11,4.22,35.22,699.22,194.89,0.11,0.0,0.0,0.0,0.56,58.89,0.33,28.0,58.89
Pier Barrios,Godoy Cruz,DF,,ARG,33.0,21.0,0.0,0.0,0.01,0.01,58.3,0.29,0.0,60.7,75.3,85.9,87.2,41.2,0.0,0.14,0.0,0.0,0.04,0.02,0.0,0.24,3.29,0.05,1.1,0.86,2.57,29.95,616.29,271.9,0.14,-0.0,0.0,0.1,0.33,49.71,0.14,22.05,67.14
Roberto Nicolás Fernández,Godoy Cruz,MF,,URU,25.0,14.1,0.14,0.14,0.11,0.08,50.0,4.1,0.35,50.0,70.5,83.7,77.9,47.8,34.3,0.35,0.11,0.4,0.08,0.19,0.28,2.48,4.47,0.0,1.35,1.06,5.67,31.49,563.55,160.14,1.28,0.06,0.07,0.35,3.76,58.37,2.48,27.45,60.57
Salomón Rodríguez,Godoy Cruz,FW,,URU,23.0,18.4,0.43,0.05,0.6,0.04,55.6,1.9,0.27,38.2,61.0,66.1,64.7,60.7,35.5,1.09,0.14,0.35,0.19,0.56,0.49,4.18,1.36,0.0,0.05,0.54,1.96,10.27,162.66,27.17,0.54,0.01,0.0,0.22,0.49,28.26,1.68,14.57,21.14
Santino Andino,Godoy Cruz,MF,FW,ARG,18.0,11.7,0.17,0.17,0.1,0.11,58.8,2.92,0.34,16.7,58.7,71.6,55.9,39.3,40.4,0.43,0.13,0.4,0.07,0.21,0.34,9.49,2.65,0.0,0.6,1.28,3.85,10.34,164.53,72.31,0.85,0.06,0.0,0.09,3.42,33.33,4.87,21.88,89.91
Silvio Ulariaga,Godoy Cruz,FW,,ARG,21.0,4.1,0.49,0.0,0.53,0.04,0.0,3.4,0.0,30.8,71.2,70.0,93.8,0.0,66.7,0.73,0.11,0.33,0.15,0.38,0.49,6.34,1.95,0.0,0.0,0.0,1.22,11.46,149.02,19.76,1.22,-0.05,0.0,0.0,0.49,27.8,0.73,14.15,17.56
Vicente Poggi,Godoy Cruz,MF,,URU,21.0,18.8,0.16,0.11,0.13,0.07,43.1,2.45,0.21,40.4,78.0,80.6,83.0,67.3,60.0,0.37,0.16,0.43,0.12,0.2,0.27,2.71,4.15,0.0,0.96,2.77,5.43,29.57,514.1,134.36,1.06,0.03,0.21,0.37,1.28,48.99,1.6,21.7,51.38
Alan Lescano,Argentinos Juniors,MF,FW,ARG,22.0,20.9,0.24,0.1,0.21,0.13,37.5,3.45,0.24,27.8,80.9,88.7,83.0,69.2,51.2,0.62,0.1,0.31,0.1,0.31,0.34,4.26,6.32,0.0,1.0,0.81,5.41,34.59,631.2,209.09,1.58,-0.03,0.05,0.43,1.82,53.78,2.06,31.58,79.0
Alan Rodríguez,Argentinos Juniors,MF,,URU,24.0,10.7,0.09,0.09,0.16,0.04,52.0,2.34,0.28,38.9,75.9,84.9,81.4,48.6,66.7,0.37,0.06,0.25,0.1,0.2,0.19,4.58,2.9,0.0,1.31,1.5,7.1,30.84,459.25,107.01,0.65,0.06,0.0,0.09,1.12,55.33,3.93,30.47,61.78
Ariel Gamarra,Argentinos Juniors,MF,,PAR,20.0,10.7,0.0,0.19,0.01,0.09,70.4,2.33,0.19,44.4,79.1,85.4,84.2,61.4,57.1,0.09,0.0,0.0,0.03,0.1,0.19,1.12,4.3,0.09,1.5,1.96,4.95,37.85,676.92,217.48,1.03,0.1,0.09,0.37,0.93,59.25,1.31,26.73,46.82
Cristian Ferreira,Argentinos Juniors,MF,FW,ARG,24.0,4.3,0.0,0.0,0.1,0.12,20.0,4.08,0.0,27.3,74.6,87.8,84.7,44.0,41.7,1.16,0.0,0.0,0.03,0.23,0.0,4.88,4.65,0.23,0.0,0.47,4.19,35.58,685.12,157.91,2.09,-0.14,0.0,1.4,6.98,58.84,2.79,34.42,79.53
Diego Matías Rodríguez,Argentinos Juniors,GK,,ARG,34.0,27.0,0.0,0.0,0.03,0.0,50.0,0.04,0.0,100.0,72.9,98.6,98.0,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.0,0.04,1.44,21.7,646.19,463.74,0.0,0.0,0.0,0.0,0.0,31.3,0.04,17.59,49.07
Emiliano Viveros,Argentinos Juniors,MF,FW,ARG,21.0,9.0,0.0,0.22,0.06,0.06,57.1,3.35,0.22,31.6,70.8,79.7,73.9,52.1,28.1,0.22,0.0,0.0,0.05,0.12,0.22,7.11,4.22,0.0,0.56,0.89,6.22,34.22,573.78,201.89,1.67,0.17,0.11,0.0,5.78,61.67,3.56,32.44,74.89
Fernando Meza,Argentinos Juniors,DF,,ARG,33.0,5.2,0.19,0.0,0.16,0.01,50.0,1.91,0.19,61.9,83.0,88.1,84.3,63.0,0.0,0.38,0.5,0.5,0.61,0.17,0.19,0.77,4.04,0.0,1.54,0.0,5.0,40.38,707.31,287.12,0.58,-0.02,0.0,0.19,0.58,55.58,0.19,30.0,87.12
Francis Mac Allister,Argentinos Juniors,MF,,ARG,28.0,13.1,0.0,0.0,0.03,0.02,54.1,1.76,0.08,55.3,81.6,89.9,88.7,56.1,50.0,0.08,0.0,0.0,0.03,0.04,0.0,0.46,5.27,0.0,1.3,1.76,7.33,42.6,782.37,286.41,0.84,-0.02,0.08,0.15,1.22,62.9,0.61,30.69,60.84
Francisco Álvarez,Argentinos Juniors,DF,,ARG,23.0,23.2,0.09,0.0,0.03,0.02,56.4,1.73,0.09,63.2,84.8,92.2,91.0,61.6,53.8,0.09,0.09,1.0,0.03,0.05,0.09,0.3,4.96,0.0,1.9,1.34,5.56,54.87,1113.49,405.91,0.34,-0.02,0.0,0.43,0.47,75.86,0.56,42.41,155.17
Gastón Verón,Argentinos Juniors,FW,MF,ARG,22.0,10.0,0.0,0.0,0.23,0.09,33.3,3.1,0.0,50.7,69.0,76.7,76.8,44.0,59.4,0.6,0.0,0.0,0.06,0.32,0.0,7.5,2.4,0.0,0.2,0.5,3.3,16.5,250.8,53.9,1.1,-0.09,0.1,0.1,0.8,37.2,3.2,23.8,42.8
Jonathan Galván,Argentinos Juniors,DF,,ARG,31.0,17.1,0.12,0.06,0.04,0.07,66.7,1.05,0.06,58.3,78.3,87.0,87.4,61.1,66.7,0.17,0.14,0.67,0.05,0.11,0.17,0.35,4.56,0.0,1.23,1.4,4.56,47.78,1095.32,477.19,0.35,-0.01,0.0,0.88,0.12,70.76,0.18,36.55,102.46
José Herrera,Argentinos Juniors,FW,MF,ARG,18.0,13.4,0.15,0.15,0.12,0.1,30.0,2.91,0.22,44.8,62.7,75.6,69.0,39.1,49.2,0.52,0.06,0.29,0.04,0.22,0.3,7.91,2.76,0.0,0.22,1.12,2.69,18.28,289.85,72.39,1.04,0.04,0.07,0.45,2.61,42.99,4.55,25.67,58.88
Kevin Coronel,Argentinos Juniors,DF,,ARG,19.0,9.2,0.0,0.11,0.02,0.03,71.4,2.94,0.22,33.3,78.1,89.8,77.8,63.0,52.9,0.11,0.0,0.0,0.04,0.05,0.11,3.8,4.02,0.0,1.52,1.52,3.04,43.48,776.41,318.15,1.2,0.08,0.0,0.33,2.17,67.93,1.85,31.41,83.26
Leonardo Heredia,Argentinos Juniors,FW,MF,ARG,28.0,4.9,0.0,0.0,0.23,0.01,75.0,0.81,0.0,32.1,68.6,81.4,69.2,66.7,28.6,0.82,0.0,0.0,0.09,0.24,0.0,5.71,2.24,0.0,0.2,0.41,2.04,12.04,170.0,42.04,0.41,-0.02,0.0,0.0,0.41,27.55,1.43,14.9,33.47
Lucas Gómez,Argentinos Juniors,MF,,ARG,19.0,6.1,0.0,0.0,0.04,0.01,41.7,2.47,0.0,33.3,86.2,94.9,91.9,70.4,66.7,0.16,0.0,0.0,0.03,0.05,0.0,2.3,2.79,0.0,0.49,1.48,5.41,30.82,563.44,152.79,0.33,0.0,0.0,0.33,0.49,46.89,0.49,20.66,50.0
Luciano Gondou,Argentinos Juniors,FW,,ARG,22.0,5.9,0.17,0.0,0.2,0.02,100.0,3.39,0.17,28.6,66.4,72.9,62.5,72.7,52.6,1.18,0.07,0.14,0.08,0.22,0.17,8.81,2.2,0.0,0.17,0.34,3.73,15.76,225.42,49.66,0.85,-0.02,0.0,0.34,1.36,34.24,3.22,21.36,56.1
Maximiliano Romero,Argentinos Juniors,FW,,ARG,25.0,15.0,0.27,0.07,0.19,0.09,40.0,1.4,0.07,34.9,65.1,73.0,72.6,41.2,30.8,0.6,0.21,0.44,0.15,0.28,0.33,3.4,1.07,0.0,0.2,0.33,2.2,8.33,121.8,28.73,0.93,-0.03,0.13,0.07,0.2,19.4,0.87,10.6,16.47
Nicolás Oróz,Argentinos Juniors,MF,FW,ARG,29.0,16.6,0.12,0.0,0.06,0.09,50.0,4.11,0.12,22.2,72.8,87.9,80.0,55.9,44.8,0.42,0.09,0.29,0.04,0.15,0.12,4.1,4.76,0.06,1.08,1.02,4.34,34.04,656.2,191.2,2.05,-0.1,0.12,0.66,5.78,59.58,4.04,32.47,51.57
Román Vega,Argentinos Juniors,DF,,ARG,20.0,20.4,0.0,0.0,0.01,0.08,60.0,2.11,0.1,41.2,70.3,82.1,78.8,47.5,46.9,0.1,0.0,0.0,0.02,0.09,0.0,5.49,4.12,0.0,0.98,1.57,4.9,35.54,677.99,217.3,1.08,-0.08,0.0,0.39,5.05,62.65,2.4,32.11,163.68
Santiago Rodriguez,Argentinos Juniors,FW,MF,ARG,26.0,5.8,0.0,0.0,0.11,0.12,42.9,4.66,0.17,30.8,64.3,78.7,68.9,41.9,53.6,0.52,0.0,0.0,0.04,0.22,0.0,9.83,4.83,0.0,0.17,0.69,3.45,23.28,411.9,139.66,1.55,-0.12,0.34,0.86,6.72,48.79,4.83,31.55,95.17
Sebastián Prieto,Argentinos Juniors,DF,,ARG,30.0,7.0,0.0,0.0,0.05,0.04,54.5,1.71,0.0,52.6,72.9,84.0,79.1,54.5,53.8,0.29,0.0,0.0,0.03,0.08,0.0,4.57,4.29,0.0,1.29,1.57,4.71,43.0,852.0,276.57,0.71,-0.04,0.0,0.14,3.0,71.14,1.86,32.29,95.29
Thiago Santamaría,Argentinos Juniors,DF,,ARG,20.0,12.9,0.0,0.0,0.02,0.04,45.7,2.09,0.23,43.8,71.4,78.2,78.4,43.8,30.0,0.08,0.0,0.0,0.02,0.06,0.0,5.81,5.12,0.0,1.09,1.63,4.19,38.91,653.41,253.02,0.93,-0.04,0.0,0.31,3.41,66.67,2.33,30.85,74.34
Tobías Palacio,Argentinos Juniors,DF,,ARG,17.0,11.6,0.0,0.0,0.05,0.01,66.7,1.29,0.26,60.5,82.9,85.2,91.6,62.6,66.7,0.09,0.0,0.0,0.12,0.06,0.0,0.09,3.62,0.0,1.21,0.52,4.14,47.07,913.1,355.78,0.17,-0.02,0.0,0.26,0.0,68.28,1.29,36.64,128.02
Aaron Nicolás Molinas,Defensa y Justicia,MF,FW,ARG,23.0,17.4,0.29,0.23,0.24,0.14,57.1,5.27,0.29,36.8,77.5,87.4,85.4,60.7,46.2,1.2,0.14,0.24,0.12,0.38,0.52,6.55,6.44,0.0,0.52,0.63,3.62,37.76,633.39,186.26,2.82,0.09,0.29,0.86,3.97,58.62,1.49,32.7,84.66
Abiel Osorio,Defensa y Justicia,FW,,ARG,21.0,10.7,0.37,0.0,0.34,0.07,28.6,3.37,0.09,36.3,77.7,79.6,83.8,83.3,52.4,1.03,0.1,0.27,0.09,0.34,0.37,6.92,1.96,0.0,0.0,0.56,2.34,15.98,242.34,35.61,1.5,-0.07,0.0,0.09,0.47,32.24,1.96,18.22,36.64
Alexis Soto,Defensa y Justicia,DF,,ARG,30.0,16.6,0.0,0.12,0.03,0.14,48.6,3.25,0.24,48.8,72.4,86.1,79.3,53.8,50.0,0.18,0.0,0.0,0.05,0.18,0.12,4.76,4.52,0.0,1.57,1.33,6.14,40.78,831.45,414.46,1.99,-0.02,0.06,0.42,5.66,68.67,1.93,30.12,85.18
Benjamín Schamine,Defensa y Justicia,MF,,ARG,20.0,5.4,0.37,0.0,0.24,0.03,36.4,2.22,0.56,66.7,79.3,81.0,86.1,74.1,75.0,0.56,0.25,0.67,0.16,0.28,0.37,1.67,3.89,0.0,1.67,1.3,4.63,29.81,536.3,143.52,0.56,-0.04,0.0,0.0,0.74,51.85,0.74,23.89,29.81
Cristopher Fiermarin,Defensa y Justicia,GK,,URU,26.0,10.0,0.0,0.0,0.0,0.0,50.0,0.4,0.1,100.0,79.6,100.0,98.7,53.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,30.4,794.8,581.0,0.0,0.0,0.0,0.0,0.0,40.4,0.1,21.1,46.8
César Pérez,Defensa y Justicia,MF,FW,CHI,21.0,10.0,0.0,0.0,0.07,0.06,34.6,3.11,0.0,72.0,83.7,86.5,87.3,79.6,33.3,0.1,0.0,0.0,0.05,0.13,0.0,3.0,7.0,0.0,1.0,1.0,7.3,48.3,800.6,230.3,1.1,-0.06,0.0,0.1,0.7,69.2,0.9,36.4,61.4
Darío Cáceres,Defensa y Justicia,DF,MF,PAR,26.0,4.5,0.0,0.0,0.0,0.05,66.7,2.46,0.0,53.8,79.6,87.6,81.6,57.7,50.0,0.0,0.0,0.0,0.02,0.06,0.0,5.56,2.0,0.0,0.22,1.56,6.0,39.78,680.67,251.78,1.11,-0.04,0.0,0.0,4.44,60.89,1.33,27.11,60.44
Emanuel Aguilera,Defensa y Justicia,DF,,ARG,34.0,20.4,0.0,0.0,0.02,0.0,60.0,0.44,0.0,63.9,83.6,89.9,89.1,64.9,66.7,0.05,0.0,0.0,0.05,0.02,0.0,0.05,2.65,0.0,1.67,0.15,4.61,40.59,843.63,343.04,0.0,0.0,0.0,0.59,0.15,57.65,0.15,27.99,93.73
Enrique Bologna,Defensa y Justicia,GK,,ARG,41.0,17.0,0.0,0.0,0.0,0.0,0.0,0.29,0.06,100.0,68.3,100.0,96.6,49.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,22.76,734.76,577.65,0.0,0.0,0.06,0.0,0.0,35.35,0.06,17.41,80.0
Ezequiel Cannavo,Defensa y Justicia,DF,,ARG,21.0,14.0,0.07,0.0,0.17,0.02,43.5,1.57,0.07,45.6,69.7,88.1,68.2,22.7,42.9,0.21,0.08,0.33,0.18,0.19,0.07,4.64,1.93,0.0,1.5,1.29,2.93,23.64,342.57,135.43,0.29,-0.02,0.0,0.0,2.64,47.43,1.5,18.64,56.14
Gabriel Alanís,Defensa y Justicia,FW,MF,ARG,29.0,9.5,0.21,0.32,0.2,0.21,68.8,2.94,0.32,36.7,68.1,78.8,67.6,67.7,44.4,0.63,0.08,0.33,0.08,0.41,0.53,8.32,2.63,0.0,0.53,1.16,3.58,19.37,326.84,75.68,1.05,0.11,0.32,0.11,2.42,42.42,3.79,25.79,64.11
Ignacio Galván,Defensa y Justicia,DF,MF,ARG,21.0,6.0,0.0,0.0,0.01,0.0,38.5,0.66,0.0,60.0,56.3,76.4,59.1,30.6,23.5,0.17,0.0,0.0,0.05,0.01,0.0,6.0,1.83,0.0,0.33,1.0,3.33,20.0,340.5,112.67,0.0,0.0,0.0,0.0,4.67,49.33,2.83,21.17,66.17
Juan Miritello,Defensa y Justicia,FW,,ARG,24.0,13.5,0.3,0.22,0.31,0.16,20.0,1.56,0.22,49.6,70.6,76.0,72.2,69.2,25.0,0.74,0.15,0.4,0.16,0.47,0.52,5.04,0.81,0.0,0.0,0.15,2.37,16.74,219.78,21.78,1.19,0.06,0.0,0.15,0.0,33.41,0.89,15.78,10.07
Julián López,Defensa y Justicia,MF,,ARG,24.0,6.3,0.0,0.0,0.05,0.02,35.7,2.21,0.0,44.4,75.9,79.5,84.1,64.0,71.4,0.16,0.0,0.0,0.05,0.07,0.0,1.27,4.76,0.0,0.79,1.11,4.29,38.89,745.71,248.57,0.48,-0.02,0.0,0.48,0.32,63.17,1.11,31.43,52.22
Kevin Facundo Gutiérrez,Defensa y Justicia,MF,,ARG,26.0,22.3,0.0,0.0,0.03,0.02,46.3,1.75,0.04,25.0,81.6,88.0,86.5,65.2,62.5,0.18,0.0,0.0,0.03,0.05,0.0,0.45,7.49,0.0,1.03,1.03,6.91,47.62,904.62,386.05,0.45,-0.02,0.09,0.54,0.54,66.86,1.08,35.43,77.0
Kevin Lopez,Defensa y Justicia,MF,FW,ARG,22.0,10.9,0.0,0.0,0.05,0.2,47.4,3.5,0.09,36.8,80.0,90.1,86.2,57.3,52.9,0.28,0.0,0.0,0.03,0.25,0.0,3.67,6.97,0.0,1.1,1.01,5.6,43.39,738.62,240.55,2.11,-0.2,0.0,0.46,4.4,65.5,1.56,38.07,93.3
Lucas Ferreira,Defensa y Justicia,DF,,URU,23.0,10.4,0.0,0.1,0.01,0.01,72.0,0.67,0.1,62.0,79.8,87.6,88.3,55.2,36.4,0.0,0.0,0.0,0.07,0.02,0.1,0.29,2.6,0.0,1.06,1.06,3.56,36.92,745.48,279.04,0.29,0.09,0.1,0.77,0.67,58.56,1.06,27.6,69.9
Luciano Ramón Herrera,Defensa y Justicia,FW,MF,ARG,27.0,16.6,0.06,0.12,0.15,0.15,59.1,3.18,0.12,50.0,69.5,78.7,71.9,66.0,32.3,0.66,0.03,0.09,0.08,0.3,0.18,7.47,2.77,0.0,0.3,1.14,4.28,16.63,276.93,93.19,1.27,-0.03,0.18,0.36,1.99,39.58,3.73,24.52,70.24
Nicolás Palavecino,Defensa y Justicia,FW,MF,ARG,20.0,7.2,0.0,0.14,0.2,0.09,58.8,3.73,0.14,45.5,75.1,85.1,77.6,50.0,50.0,0.41,0.0,0.0,0.1,0.3,0.14,4.72,3.47,0.0,0.42,1.39,4.58,21.81,326.53,81.39,1.81,0.04,0.14,0.14,0.56,44.58,4.44,25.14,71.67
Nicolás Tripichio,Defensa y Justicia,DF,,ARG,28.0,4.2,0.0,0.0,0.01,0.05,60.0,3.08,0.47,69.2,66.8,86.8,73.6,40.9,44.4,0.24,0.0,0.0,0.02,0.06,0.0,3.33,4.05,0.0,2.38,2.86,6.9,33.1,600.95,265.71,1.67,-0.05,0.0,0.24,1.43,66.43,2.14,30.24,87.86
Rodrigo Bogarín,Defensa y Justicia,MF,FW,PAR,26.0,10.0,0.1,0.0,0.07,0.09,62.5,3.89,0.1,33.3,73.9,79.5,80.9,60.9,36.4,0.7,0.05,0.14,0.03,0.16,0.1,4.7,5.9,0.0,0.4,1.9,5.0,37.7,665.3,184.7,1.8,-0.09,0.0,0.9,2.7,62.2,3.3,33.1,70.7
Santi Ramos Mingo,Defensa y Justicia,DF,,ARG,22.0,22.0,0.05,0.05,0.09,0.01,78.9,0.82,0.05,72.9,81.9,91.3,86.9,40.7,80.0,0.27,0.06,0.17,0.11,0.1,0.09,0.41,3.18,0.05,1.5,0.73,2.68,37.77,655.14,284.27,0.23,0.04,0.0,0.5,0.32,58.36,0.23,27.05,76.45
Tobías Rubio,Defensa y Justicia,DF,,ARG,19.0,8.0,0.0,0.13,0.04,0.04,60.9,1.88,0.25,62.5,73.5,88.3,73.5,57.8,50.0,0.0,0.0,0.0,0.06,0.08,0.13,5.75,3.75,0.0,0.75,1.88,3.75,33.0,529.12,184.5,0.75,0.09,0.0,0.25,2.75,56.75,1.5,26.75,73.75
Aaron Anselmino,Boca Juniors,DF,,ARG,18.0,9.7,0.0,0.31,0.0,0.18,70.8,0.72,0.31,50.0,86.3,92.4,92.6,54.1,44.4,0.0,0.0,0.0,0.0,0.18,0.31,0.1,2.78,0.0,1.96,1.75,4.43,46.91,908.35,308.14,0.41,0.12,0.21,0.93,0.0,68.25,0.93,33.3,120.31
Agustín Martegani,Boca Juniors,MF,,ARG,23.0,3.8,0.0,0.0,0.01,0.08,45.5,2.38,0.0,76.9,76.8,83.1,77.8,44.4,23.1,0.26,0.0,0.0,0.02,0.09,0.0,5.26,4.21,0.0,1.32,2.11,4.47,30.53,430.0,142.37,1.32,-0.08,0.0,0.0,1.84,51.84,3.42,25.53,73.16
Brian Aguirre,Boca Juniors,FW,MF,ARG,20.0,9.9,0.2,0.1,0.17,0.2,50.0,3.34,0.1,37.5,63.8,83.2,65.9,45.1,41.7,0.71,0.13,0.29,0.11,0.38,0.3,8.89,4.04,0.0,0.2,0.81,3.13,19.9,320.1,100.0,1.62,-0.1,0.1,0.2,5.25,41.72,3.64,23.13,71.21
Cristian Lema,Boca Juniors,DF,,ARG,33.0,9.0,0.11,0.0,0.05,0.03,64.7,0.78,0.0,79.3,77.9,83.2,85.4,59.6,33.3,0.33,0.1,0.33,0.04,0.07,0.11,0.33,3.78,0.0,1.56,1.33,4.33,42.0,891.89,327.67,0.11,-0.02,0.0,1.11,0.11,66.33,0.33,31.33,88.33
Cristian Medina,Boca Juniors,MF,,ARG,21.0,10.7,0.09,0.09,0.07,0.08,70.0,1.87,0.28,46.7,84.9,92.0,87.7,69.0,48.1,0.47,0.11,0.2,0.09,0.16,0.19,2.52,5.61,0.0,1.21,1.5,5.51,37.94,620.37,148.79,0.75,0.01,0.28,0.09,0.37,57.29,2.52,32.62,99.16
Edinson Cavani,Boca Juniors,FW,,URU,36.0,14.4,0.28,0.07,0.45,0.06,50.0,1.39,0.07,45.5,74.1,78.1,73.2,70.8,56.3,1.18,0.14,0.24,0.23,0.5,0.35,4.31,1.46,0.0,0.07,0.21,2.08,12.92,200.35,31.74,0.42,0.01,0.07,0.62,0.21,25.83,1.11,14.17,17.22
Exequiel Zeballos,Boca Juniors,MF,FW,ARG,21.0,11.6,0.09,0.17,0.28,0.15,33.3,3.1,0.52,33.3,64.3,83.1,64.9,32.6,41.7,0.95,0.04,0.09,0.12,0.44,0.26,8.79,1.98,0.0,0.26,0.43,3.28,15.86,229.57,62.5,0.95,0.02,0.17,0.0,5.09,38.19,5.17,26.55,104.05
Ezequiél Fernández,Boca Juniors,MF,,ARG,21.0,4.4,0.46,0.23,0.21,0.06,50.0,4.33,0.91,42.9,88.1,92.0,91.8,78.8,70.0,0.91,0.25,0.5,0.12,0.27,0.68,2.95,6.82,0.0,0.45,1.82,7.27,67.27,1074.77,367.5,1.14,0.16,0.23,0.23,0.23,87.95,2.27,57.27,129.55
Gary Medel,Boca Juniors,DF,MF,CHI,36.0,6.2,0.0,0.0,0.0,0.01,40.0,0.8,0.0,50.0,93.2,95.5,96.8,75.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,2.1,0.16,1.29,0.97,3.55,63.87,1307.58,419.52,0.32,-0.02,0.0,0.48,0.0,77.74,0.16,41.94,77.42
Guillermo Matías Fernández,Boca Juniors,MF,,ARG,32.0,18.8,0.0,0.0,0.01,0.07,68.1,1.96,0.16,40.9,84.2,89.1,90.5,73.9,50.0,0.0,0.0,0.0,0.03,0.08,0.0,1.44,6.17,0.0,1.7,2.18,6.81,50.11,929.57,293.09,0.8,-0.07,0.11,0.74,0.85,69.95,1.7,36.7,95.85
