Player,Team,Position,Secondary Position,Nation,Age,90s Played,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Rodrigo Gallo,Gimnasia y Esgrima LP,DF,MF,ARG,23.0,5.4,0.0,0.0,0.03,0.02,63.6,0.92,0.0,50.0,68.1,77.4,78.7,44.0,50.0,0.0,0.0,0.0,0.04,0.04,0.0,3.15,5.37,0.0,1.11,1.67,4.63,35.56,680.74,289.44,0.56,-0.02,0.0,0.56,2.41,65.19,1.11,26.67,70.0
Rodrigo Saravia,Gimnasia y Esgrima LP,MF,,URU,23.0,5.0,0.0,0.0,0.04,0.01,62.5,1.2,0.0,75.0,75.3,78.7,81.1,58.6,50.0,0.0,0.0,0.0,0.03,0.05,0.0,0.8,3.6,0.0,0.6,2.2,6.8,28.0,545.2,167.0,0.4,0.0,0.0,0.8,0.2,47.8,0.4,16.8,32.8
Valentín Rodríguez,Gimnasia y Esgrima LP,MF,DF,URU,22.0,5.9,0.0,0.0,0.03,0.01,28.6,1.36,0.0,30.0,70.5,84.6,80.0,33.3,37.5,0.17,0.0,0.0,0.03,0.04,0.0,4.24,3.56,0.0,0.68,0.85,3.73,21.02,344.07,147.12,0.34,0.0,0.0,0.17,1.19,43.39,2.71,20.51,78.31
Yonathan Cabral,Gimnasia y Esgrima LP,DF,,ARG,31.0,24.5,0.0,0.0,0.03,0.01,52.3,0.65,0.04,60.7,71.1,81.9,77.3,55.7,100.0,0.04,0.0,0.0,0.1,0.04,0.0,0.16,3.39,0.04,2.37,1.76,4.37,26.78,573.63,292.73,0.16,-0.01,0.04,0.12,0.04,49.88,0.12,19.71,98.98
Alexis Manyoma,Estudiantes LP,FW,MF,COL,21.0,11.1,0.27,0.54,0.22,0.27,15.8,3.42,0.54,37.3,74.3,84.5,67.7,60.5,52.4,0.63,0.17,0.43,0.14,0.49,0.81,10.9,4.14,0.0,0.54,0.54,5.14,28.11,441.53,120.27,1.62,0.27,0.27,0.45,1.53,53.78,5.68,35.59,93.6
Edwuin Cetré,Estudiantes LP,FW,MF,COL,26.0,12.2,0.25,0.08,0.14,0.14,62.5,3.22,0.16,40.6,66.0,84.2,63.6,50.7,47.2,0.9,0.08,0.18,0.04,0.22,0.33,12.62,2.38,0.0,0.41,0.57,3.44,22.13,376.48,98.93,1.89,-0.07,0.08,0.41,7.62,44.67,2.95,28.69,80.0
Enzo Pérez,Estudiantes LP,MF,,ARG,37.0,20.6,0.0,0.0,0.0,0.03,43.8,1.51,0.29,58.7,87.6,91.4,89.9,74.4,60.0,0.0,0.0,0.0,0.02,0.03,0.0,0.49,6.84,0.0,2.18,1.12,5.44,52.72,952.57,351.02,0.34,-0.03,0.1,0.24,0.05,70.29,0.73,32.82,60.34
Eric Meza,Estudiantes LP,DF,,ARG,24.0,18.1,0.06,0.11,0.02,0.14,58.8,1.88,0.11,37.1,70.5,81.4,77.1,48.2,37.8,0.17,0.08,0.33,0.03,0.16,0.17,5.97,3.48,0.0,0.88,1.49,4.36,34.36,629.89,238.4,1.27,-0.03,0.0,0.28,4.86,60.06,2.04,26.69,87.68
Eros Mancuso,Estudiantes LP,DF,,ARG,24.0,6.5,0.15,0.15,0.12,0.16,73.3,2.77,0.15,37.5,77.4,87.4,82.8,52.5,53.8,0.77,0.09,0.2,0.07,0.28,0.31,7.69,4.92,0.0,1.54,2.0,5.85,44.77,780.0,276.15,1.54,0.0,0.15,0.62,3.85,72.92,2.0,40.0,98.92
Facundo Rodríguez,Estudiantes LP,DF,,ARG,23.0,13.5,0.07,0.0,0.02,0.01,83.3,0.37,0.0,58.3,78.6,85.9,89.8,50.0,80.0,0.15,0.33,0.5,0.07,0.02,0.07,0.15,2.59,0.07,1.11,0.81,2.44,32.89,689.33,268.67,0.22,-0.01,0.0,0.3,0.15,51.19,0.37,24.89,88.37
Federico Fernández,Estudiantes LP,DF,,ARG,34.0,8.5,0.0,0.0,0.05,0.02,37.5,0.35,0.0,48.7,89.8,94.2,95.6,67.6,50.0,0.0,0.0,0.0,0.09,0.07,0.0,0.12,3.18,0.0,1.41,0.35,4.0,50.59,1038.24,426.12,0.24,-0.02,0.0,0.24,0.0,65.29,0.24,37.41,116.0
Gabriel Neves,Estudiantes LP,MF,,URU,26.0,10.4,0.0,0.0,0.03,0.03,34.8,2.3,0.19,46.7,85.2,88.1,90.0,78.8,71.4,0.1,0.0,0.0,0.06,0.06,0.0,1.44,6.92,0.0,0.87,1.54,6.54,57.12,1077.79,329.62,0.67,-0.03,0.1,0.96,0.1,74.81,0.67,39.04,65.19
Gastón Benedetti,Estudiantes LP,DF,,ARG,22.0,15.7,0.06,0.0,0.07,0.02,52.0,1.66,0.06,39.4,75.7,90.3,81.2,43.1,58.6,0.32,0.1,0.2,0.11,0.1,0.06,4.65,5.86,0.0,1.21,1.21,6.37,44.39,777.58,282.61,0.64,-0.03,0.0,0.45,2.99,69.68,1.85,33.44,81.08
Guido Carrillo,Estudiantes LP,FW,,ARG,32.0,13.2,0.53,0.08,0.44,0.06,22.2,2.43,0.23,60.2,66.2,68.8,64.2,64.7,40.0,1.36,0.21,0.39,0.13,0.39,0.61,5.38,2.27,0.0,0.15,0.23,2.58,18.11,246.97,47.65,0.68,0.02,0.15,0.0,0.08,36.89,1.52,14.85,17.73
Joaquín Burgos,Estudiantes LP,FW,,ARG,19.0,6.3,0.32,0.0,0.42,0.09,33.3,2.7,0.16,21.7,66.8,77.9,66.7,48.0,8.3,0.8,0.1,0.4,0.12,0.48,0.32,9.52,1.75,0.0,0.63,0.79,4.13,20.79,326.83,107.78,1.43,-0.1,0.0,0.0,5.08,44.13,1.9,25.4,68.41
José Sosa,Estudiantes LP,FW,MF,ARG,38.0,12.8,0.23,0.16,0.17,0.11,40.7,5.0,0.47,43.2,75.7,84.1,80.4,60.3,68.8,0.31,0.06,0.25,0.04,0.16,0.39,5.7,8.28,0.08,0.47,1.09,4.77,46.48,800.86,225.23,1.88,0.05,0.16,0.39,5.0,71.48,1.25,38.91,74.38
Luciano Giménez,Estudiantes LP,FW,MF,ARG,23.0,7.5,0.0,0.4,0.22,0.13,40.0,2.94,0.67,44.2,56.7,65.6,66.7,60.0,52.6,0.54,0.0,0.0,0.09,0.35,0.4,8.4,2.8,0.0,0.4,1.2,3.73,15.2,231.2,64.67,1.6,0.28,0.13,0.0,1.2,39.47,2.53,19.07,30.13
Luciano Lollo,Estudiantes LP,DF,,ARG,36.0,18.7,0.0,0.0,0.02,0.01,71.4,0.64,0.11,68.7,82.6,85.6,88.3,70.4,90.0,0.11,0.0,0.0,0.04,0.03,0.0,0.27,4.65,0.05,1.12,0.64,4.06,48.07,1064.39,441.71,0.16,-0.01,0.0,0.64,0.05,66.95,0.53,39.09,100.59
Matías Mansilla,Estudiantes LP,GK,,ARG,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,100.0,74.7,100.0,98.2,48.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.0,0.54,19.42,550.35,407.96,0.0,0.0,0.0,0.04,0.0,28.12,0.04,13.58,56.15
Pablo Piatti,Estudiantes LP,FW,MF,ARG,34.0,10.4,0.19,0.1,0.18,0.17,36.0,3.85,0.1,34.9,65.9,85.2,70.4,41.7,21.7,0.96,0.09,0.2,0.08,0.35,0.29,7.5,3.46,0.0,0.58,1.83,5.1,23.75,383.27,112.12,2.02,-0.08,0.0,0.19,5.67,50.58,2.21,27.4,48.56
Santiago Arzamendia,Estudiantes LP,DF,,PAR,25.0,9.3,0.0,0.0,0.02,0.2,64.7,2.57,0.32,39.4,71.2,85.5,77.3,33.3,58.3,0.21,0.0,0.0,0.03,0.23,0.0,4.3,3.66,0.0,1.4,1.18,4.84,32.47,544.52,216.02,1.4,-0.2,0.11,0.11,2.58,58.28,1.29,25.59,66.67
