Player,Position,Nation,Age,Team,90s Played,Save %,Position,Matches Played,Starts,Goals Allowed Per 90,Shots on Target Against,Saves,Wins,Clean Sheet %,PK Save %,Expected_PSxG,Expected_PSxG/SoT,PSxG-GA per 90,Pass >40 Yards Cmp%,Avg Pass Length,Crosses Stopped %,Def Actions Outside Pen Area/90,Avg Distance of Def Actions,Wins Per 90,Expected_PSxG Per 90,Saves Per 90,Shots on Target Against Per 90,GA/SoT Per 90,Secondary Position,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Alan Aguerre,GK,ARG,33.0,Lanus,10.0,69.8,GK,10.0,10.0,1.4,43.0,28.0,3.0,10.0,50.0,13.0,0.27,-0.1,38.1,40.9,1.7,0.4,14.0,0.3,1.3,2.8,4.3,0.33,,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,58.9,100.0,98.4,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7,17.6,640.1,551.5,0.0,0.0,0.0,0.0,0.0,32.8,0.0,13.3,51.1
Nahuel Losada,GK,ARG,30.0,Lanus,17.0,78.4,GK,17.0,17.0,1.0,74.0,58.0,5.0,47.1,0.0,21.0,0.28,0.29,35.1,35.7,6.5,1.29,15.3,0.29,1.24,3.41,4.35,0.23,,0.0,0.0,0.0,0.0,0.0,0.06,0.0,100.0,72.4,100.0,98.5,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,1.06,23.29,664.88,501.88,0.06,0.0,0.0,0.06,0.0,34.65,0.0,15.35,50.59
Nahuel Losada,GK,ARG,30.0,Lanus,17.0,78.4,GK,17.0,17.0,1.0,74.0,58.0,5.0,47.1,0.0,21.0,0.28,0.29,35.1,35.7,6.5,1.29,15.3,0.29,1.24,3.41,4.35,0.23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,64.8,100.0,95.5,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,21.4,600.6,471.4,0.0,0.0,0.0,0.0,0.0,36.6,0.0,17.8,51.0
Facundo Cambeses,GK,ARG,26.0,Racing Club,6.5,64.7,GK,7.0,6.0,1.85,34.0,21.0,2.0,16.7,100.0,10.3,0.3,-0.26,24.3,37.0,3.3,0.77,11.9,0.31,1.58,3.23,5.23,0.35,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,67.4,100.0,100.0,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.77,18.77,523.69,377.54,0.0,0.0,0.0,0.0,0.0,30.31,0.0,15.08,46.0
Gabriel Arias,GK,CHI,36.0,Racing Club,20.5,73.0,GK,21.0,21.0,0.88,63.0,46.0,12.0,47.6,0.0,15.2,0.23,-0.09,40.9,37.6,3.9,1.02,16.3,0.59,0.74,2.24,3.07,0.29,,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,73.4,100.0,98.5,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.73,21.17,642.59,492.0,0.05,0.0,0.0,0.1,0.0,30.49,0.0,16.24,62.93
Marcos Ignacio Ledesma,GK,ARG,27.0,Gimnasia y Esgrima LP,18.0,79.2,GK,18.0,18.0,0.61,53.0,43.0,5.0,50.0,0.0,12.2,0.23,0.12,35.8,38.2,10.4,1.17,13.0,0.28,0.68,2.39,2.94,0.21,,0.0,0.0,0.0,0.0,100.0,0.17,0.0,100.0,65.7,100.0,98.7,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.17,0.89,19.22,605.78,456.33,0.0,0.0,0.0,0.11,0.0,31.44,0.0,14.72,59.89
Nelson Insfrán,GK,ARG,28.0,Gimnasia y Esgrima LP,9.0,69.4,GK,9.0,9.0,1.22,36.0,25.0,3.0,11.1,0.0,8.7,0.25,-0.26,44.8,36.2,8.5,1.0,14.8,0.33,0.97,2.78,4.0,0.3,,0.0,0.0,0.0,0.0,0.0,0.56,0.0,100.0,74.0,100.0,100.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.78,22.11,680.56,506.89,0.0,0.0,0.0,0.11,0.0,31.44,0.0,17.67,82.33
Matías Mansilla,GK,ARG,27.0,Estudiantes LP,26.0,71.7,GK,26.0,26.0,1.23,99.0,68.0,8.0,19.2,0.0,33.1,0.3,0.08,36.9,33.4,7.9,0.69,12.2,0.31,1.27,2.62,3.81,0.32,,0.0,0.0,0.0,0.0,0.0,0.08,0.04,100.0,74.7,100.0,98.2,48.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.0,0.54,19.42,550.35,407.96,0.0,0.0,0.0,0.04,0.0,28.12,0.04,13.58,56.15
Ezequiel Centurión,GK,ARG,26.0,Independiente Rivadavia,22.0,75.0,GK,22.0,22.0,1.05,84.0,60.0,8.0,36.4,33.3,20.0,0.21,-0.14,28.6,45.9,6.1,0.32,9.4,0.36,0.91,2.73,3.82,0.27,,0.0,0.0,0.0,0.0,0.0,0.14,0.05,100.0,51.2,100.0,99.1,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,13.09,472.23,384.05,0.0,0.0,0.0,0.05,0.0,27.5,0.0,11.18,55.95
Ezequiel Centurión,GK,ARG,26.0,Independiente Rivadavia,22.0,75.0,GK,22.0,22.0,1.05,84.0,60.0,8.0,36.4,33.3,20.0,0.21,-0.14,28.6,45.9,6.1,0.32,9.4,0.36,0.91,2.73,3.82,0.27,,0.0,0.0,0.0,0.0,0.0,0.14,0.05,100.0,51.2,100.0,99.1,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,13.09,472.23,384.05,0.0,0.0,0.0,0.05,0.0,27.5,0.0,11.18,55.95
